date,miles
01/01/1963,6827
01/02/1963,6178
01/03/1963,7084
01/04/1963,8162
01/05/1963,8462
01/06/1963,9644
01/07/1963,10466
01/08/1963,10748
01/09/1963,9963
01/10/1963,8194
01/11/1963,6848
01/12/1963,7027
01/01/1964,7269
01/02/1964,6775
01/03/1964,7819
01/04/1964,8371
01/05/1964,9069
01/06/1964,10248
01/07/1964,11030
01/08/1964,10882
01/09/1964,10333
01/10/1964,9109
01/11/1964,7685
01/12/1964,7602
01/01/1965,8350
01/02/1965,7829
01/03/1965,8829
01/04/1965,9948
01/05/1965,10638
01/06/1965,11253
01/07/1965,11424
01/08/1965,11391
01/09/1965,10665
01/10/1965,9396
01/11/1965,7775
01/12/1965,7933
01/01/1966,8186
01/02/1966,7444
01/03/1966,8484
01/04/1966,9864
01/05/1966,10252
01/06/1966,12282
01/07/1966,11637
01/08/1966,11577
01/09/1966,12417
01/10/1966,9637
01/11/1966,8094
01/12/1966,9280
01/01/1967,8334
01/02/1967,7899
01/03/1967,9994
01/04/1967,10078
01/05/1967,10801
01/06/1967,12950
01/07/1967,12222
01/08/1967,12246
01/09/1967,13281
01/10/1967,10366
01/11/1967,8730
01/12/1967,9614
01/01/1968,8639
01/02/1968,8772
01/03/1968,10874
01/04/1968,10455
01/05/1968,11179
01/06/1968,10588
01/07/1968,10794
01/08/1968,12770
01/09/1968,13812
01/10/1968,10857
01/11/1968,9290
01/12/1968,10925
01/01/1969,9491
01/02/1969,8919
01/03/1969,11607
01/04/1969,8852
01/05/1969,12537
01/06/1969,14759
01/07/1969,13667
01/08/1969,13731
01/09/1969,15110
01/10/1969,12185
01/11/1969,10645
01/12/1969,12161
01/01/1970,10840
01/02/1970,10436
01/03/1970,13589
01/04/1970,13402
01/05/1970,13103
01/06/1970,14933
01/07/1970,14147
01/08/1970,14057
01/09/1970,16234
01/10/1970,12389
01/11/1970,11595
01/12/1970,12772
